observationid,region,year,month,quarter,type,averageprice,totalvolume,supplierid
14758,Louisville,2016,1,1,Organic,1.74,1057.26,A
16966,Buffalo/Rochester,2016,10,4,Organic,1.61,1079,A
15182,Louisville,2016,2,1,Organic,1.69,1081.74,A
6388,New Orleans/Mobile,2018,11,4,Organic,1.47,1090.3,C
9237,Grand Rapids,2017,1,1,Organic,1.79,1095.77,C
17443,Buffalo/Rochester,2016,12,4,Organic,1.51,1098.66,A
11420,Miami/Ft. Lauderdale,2017,10,4,Organic,2.62,1100.1,C
17434,Syracuse,2016,12,4,Organic,1.63,1106.24,A
9502,Grand Rapids,2017,2,1,Organic,1.7,1112.77,C
14897,Boise,2016,1,1,Organic,1.77,1117.32,A
15848,Albany,2016,5,2,Organic,1.49,1117.44,A
16860,Buffalo/Rochester,2016,10,4,Organic,1.57,1118.55,A
16816,Grand Rapids,2016,10,4,Organic,2.1,1122.69,A
17116,Syracuse,2016,11,4,Organic,1.7,1141.59,A
14735,Albany,2016,1,1,Organic,1.75,1145.5,A
17125,Buffalo/Rochester,2016,11,4,Organic,1.68,1146.07,A
15511,Pittsburgh,2016,4,2,Organic,1.35,1159.5,A
16913,Buffalo/Rochester,2016,10,4,Organic,1.57,1163.67,A
10418,New Orleans/Mobile,2017,6,2,Organic,2.12,1179.16,C
17399,Grand Rapids,2016,12,4,Organic,2.11,1181.37,A
17072,Buffalo/Rochester,2016,11,4,Organic,1.56,1186.44,A
15795,Albany,2016,5,2,Organic,1.55,1193.06,A
14738,Boise,2016,1,1,Organic,1.28,1200.13,A
16922,Grand Rapids,2016,10,4,Organic,2.07,1200.59,A
16807,Buffalo/Rochester,2016,10,4,Organic,1.55,1211.27,A
17346,Grand Rapids,2016,12,4,Organic,1.97,1212.71,A
14875,Pittsburgh,2016,1,1,Organic,1.45,1219.69,A
17231,Buffalo/Rochester,2016,11,4,Organic,1.76,1221.36,A
16233,Grand Rapids,2016,7,3,Organic,1.82,1222.54,A
16584,Spokane,2016,8,3,Organic,2.51,1227.21,A
15533,Boise,2016,4,2,Organic,1.56,1228.73,A
16851,Syracuse,2016,10,4,Organic,1.59,1233.27,A
16798,Syracuse,2016,9,3,Organic,1.6,1233.92,A
15352,Pittsburgh,2016,3,1,Organic,1.2,1237.02,A
15087,Pittsburgh,2016,2,1,Organic,1.38,1238.86,A
14864,Louisville,2016,1,1,Organic,1.85,1241.24,A
14981,Pittsburgh,2016,1,1,Organic,1.3,1241.84,A
16975,Grand Rapids,2016,10,4,Organic,2.17,1243.29,A
15053,Albany,2016,2,1,Organic,1.81,1247.8,A
11233,Syracuse,2017,9,3,Organic,1.78,1249.75,C
15000,Albany,2016,2,1,Organic,1.81,1252.86,A
17008,Spokane,2016,10,4,Organic,2.23,1253.5,A
15140,Pittsburgh,2016,2,1,Organic,1.33,1256.47,A
15023,Louisville,2016,2,1,Organic,1.59,1259.46,A
15742,Albany,2016,5,2,Organic,1.59,1259.86,A
16829,New Orleans/Mobile,2016,10,4,Organic,1.72,1263.25,A
823,New Orleans/Mobile,2019,2,1,Organic,1.51,1264.25,C
10576,New Orleans/Mobile,2017,6,2,Organic,1.91,1282.64,C
15106,Albany,2016,2,1,Organic,1.79,1282.87,A
17134,Grand Rapids,2016,11,4,Organic,2.28,1284.68,A
16710,Grand Rapids,2016,9,3,Organic,1.82,1285.58,A
14970,Louisville,2016,1,1,Organic,1.55,1293.69,A
17081,Grand Rapids,2016,11,4,Organic,2.17,1298.02,A
14947,Albany,2016,1,1,Organic,1.79,1305.94,A
11207,Louisville,2017,9,3,Organic,1.76,1306.18,C
10458,Grand Rapids,2017,6,2,Organic,2.39,1312.01,C
10511,Grand Rapids,2017,6,2,Organic,2.62,1314.24,C
14822,Pittsburgh,2016,1,1,Organic,1.4,1314.78,A
399,New Orleans/Mobile,2019,3,1,Organic,1.33,1315.59,C
15981,New Orleans/Mobile,2016,6,2,Organic,1.73,1325.91,A
17014,Albany,2016,10,4,Organic,1.96,1326.8,A
9696,Syracuse,2017,2,1,Organic,1.79,1336.09,C
187,New Orleans/Mobile,2019,3,1,Organic,1.31,1337.13,C
6385,Miami/Ft. Lauderdale,2018,11,4,Organic,1.38,1353.63,C
611,New Orleans/Mobile,2019,2,1,Organic,1.43,1358.14,C
17452,Grand Rapids,2016,12,4,Organic,2.04,1361.01,A
17279,Albany,2016,12,4,Organic,1.97,1364.73,A
11292,Baltimore/Washington,2017,10,4,Organic,2.79,1373.11,C
9223,Albany,2017,1,1,Organic,1.87,1376.7,C
15215,Boise,2016,3,1,Organic,1.15,1381.84,A
10352,Grand Rapids,2017,5,2,Organic,2.44,1388.02,C
15928,New Orleans/Mobile,2016,6,2,Organic,1.68,1388.5,A
10405,Grand Rapids,2017,6,2,Organic,2.33,1389.65,C
16480,Syracuse,2016,8,3,Organic,1.53,1391.44,A
17070,Boise,2016,11,4,Organic,2,1394.87,A
505,New Orleans/Mobile,2019,2,1,Organic,1.11,1406.54,C
15438,Grand Rapids,2016,4,2,Organic,1.56,1409.23,A
11239,Baltimore/Washington,2017,9,3,Organic,2.64,1411.83,C
11416,Jacksonville,2017,10,4,Organic,2.55,1421.74,C
9343,Grand Rapids,2017,1,1,Organic,1.75,1427.36,C
16869,Grand Rapids,2016,10,4,Organic,1.99,1434.77,A
10140,Grand Rapids,2017,4,2,Organic,2.21,1451.76,C
293,New Orleans/Mobile,2019,3,1,Organic,1.25,1457.13,C
16858,Boise,2016,10,4,Organic,1.5,1457.64,A
14811,Louisville,2016,1,1,Organic,1.68,1460.66,A
9458,Louisville,2017,1,1,Organic,1.45,1469.92,C
17385,Albany,2016,12,4,Organic,1.86,1472.84,A
14890,Syracuse,2016,1,1,Organic,1.53,1478.04,A
15299,Pittsburgh,2016,3,1,Organic,1.15,1479.81,A
15159,Albany,2016,2,1,Organic,1.79,1485.73,A
16374,Syracuse,2016,7,3,Organic,1.41,1491.19,A
929,New Orleans/Mobile,2019,1,1,Organic,1.55,1491.22,C
11186,Baltimore/Washington,2017,9,3,Organic,2.65,1491.87,C
16978,Hartford/Springfield,2016,10,4,Organic,1.98,1494.63,A
14841,Albany,2016,1,1,Organic,1.67,1496.73,A
16275,Boise,2016,7,3,Organic,1.92,1498.06,A
14894,Albany,2016,1,1,Organic,1.83,1506.87,A
16286,Grand Rapids,2016,7,3,Organic,1.98,1509.8,A
9835,New Orleans/Mobile,2017,3,1,Organic,1.44,1517.2,C
15617,Pittsburgh,2016,4,2,Organic,1.48,1541.74,A
16378,Albany,2016,8,3,Organic,1.67,1545.79,A
10886,Jacksonville,2017,8,3,Organic,2.09,1552.26,C
16325,Albany,2016,7,3,Organic,1.43,1553.42,A
11399,Boise,2017,10,4,Organic,2.62,1563.12,C
10246,Grand Rapids,2017,5,2,Organic,2.11,1569.19,C
17222,Syracuse,2016,11,4,Organic,1.77,1573.28,A
15822,New Orleans/Mobile,2016,5,2,Organic,1.58,1581.74,A
17381,Syracuse,2016,12,4,Organic,1.77,1584,A
81,New Orleans/Mobile,2019,3,1,Organic,1.24,1599.66,B
11134,Boise,2017,9,3,Organic,2.63,1600.11,C
15636,Albany,2016,5,2,Organic,1.78,1604,A
16431,Albany,2016,8,3,Organic,1.72,1609.03,A
15809,Grand Rapids,2016,5,2,Organic,1.75,1610.27,A
16825,Louisville,2016,10,4,Organic,1.87,1610.43,A
16879,Miami/Ft. Lauderdale,2016,10,4,Organic,1.45,1613.43,A
15564,Pittsburgh,2016,4,2,Organic,1.48,1614.86,A
16692,Syracuse,2016,9,3,Organic,1.54,1614.87,A
17461,Louisville,2016,12,4,Organic,1.53,1619.79,A
15544,Grand Rapids,2016,4,2,Organic,1.57,1620.45,A
14784,Syracuse,2016,1,1,Organic,1.46,1621.21,A
9449,Grand Rapids,2017,1,1,Organic,1.67,1626.47,C
9963,Syracuse,2017,4,2,Organic,1.96,1628.79,C
11452,Boise,2017,10,4,Organic,2.41,1631.8,C
15279,Grand Rapids,2016,3,1,Organic,1.33,1643.43,A
11028,Boise,2017,8,3,Organic,2.75,1643.45,C
10727,Jacksonville,2017,7,3,Organic,2.11,1646.15,C
17226,Albany,2016,11,4,Organic,1.97,1646.78,A
11345,Baltimore/Washington,2017,10,4,Organic,2.78,1655.56,C
14950,Boise,2016,1,1,Organic,1.24,1660.38,A
10975,Boise,2017,8,3,Organic,2.62,1661.6,C
14788,Albany,2016,1,1,Organic,1.83,1676.05,A
10299,Grand Rapids,2017,5,2,Organic,2.34,1678.36,C
16127,Grand Rapids,2016,7,3,Organic,1.8,1680.08,A
15447,Louisville,2016,4,2,Organic,1.43,1682.3,A
17328,Syracuse,2016,12,4,Organic,1.83,1687.32,A
15491,Grand Rapids,2016,4,2,Organic,1.34,1690.4,A
16436,Buffalo/Rochester,2016,8,3,Organic,1.55,1693.25,A
16648,Buffalo/Rochester,2016,9,3,Organic,1.51,1699.25,A
15405,Pittsburgh,2016,3,1,Organic,1.18,1702.84,A
10175,Syracuse,2017,4,2,Organic,1.88,1703.77,C
15212,Albany,2016,3,1,Organic,1.92,1704.24,A
15371,Albany,2016,3,1,Organic,1.65,1705.39,A
14837,Syracuse,2016,1,1,Organic,1.54,1708.27,A
17438,Albany,2016,12,4,Organic,1.93,1714.92,A
16772,Louisville,2016,9,3,Organic,1.81,1727.77,A
14844,Boise,2016,1,1,Organic,1.37,1728.46,A
15318,Albany,2016,3,1,Organic,1.76,1733.01,A
16796,Spokane,2016,9,3,Organic,2.27,1737.7,A
16586,Syracuse,2016,8,3,Organic,1.54,1739.66,A
10259,New Orleans/Mobile,2017,5,2,Organic,1.96,1745.63,C
9484,Syracuse,2017,1,1,Organic,1.67,1749.51,C
15703,Grand Rapids,2016,5,2,Organic,1.56,1750.18,A
9488,Albany,2017,2,1,Organic,1.72,1753.35,C
15745,Boise,2016,5,2,Organic,1.55,1755.38,A
16319,Spokane,2016,7,3,Organic,2.16,1760.07,A
10939,Jacksonville,2017,8,3,Organic,2,1764.35,C
16330,Buffalo/Rochester,2016,7,3,Organic,1.55,1764.88,A
16657,Grand Rapids,2016,9,3,Organic,1.91,1765.13,A
15862,Grand Rapids,2016,5,2,Organic,1.69,1778.67,A
16604,Grand Rapids,2016,9,3,Organic,1.96,1782.56,A
15957,Boise,2016,6,2,Organic,1.59,1782.87,A
16902,Spokane,2016,10,4,Organic,2.26,1792.53,A
16392,Grand Rapids,2016,8,3,Organic,2.03,1794.39,A
17167,Spokane,2016,11,4,Organic,2.35,1795.08,A
9435,Albany,2017,1,1,Organic,1.86,1795.81,C
11876,Boise,2017,12,4,Organic,1.79,1797.04,C
9541,Albany,2017,2,1,Organic,1.78,1806.4,C
9272,Syracuse,2017,1,1,Organic,1.7,1811.03,C
16272,Albany,2016,7,3,Organic,1.42,1811.44,A
10922,Boise,2017,8,3,Organic,2.32,1816.79,C
15385,Grand Rapids,2016,3,1,Organic,1.53,1816.88,A
9750,Syracuse,2017,3,1,Organic,1.84,1817.84,C
17123,Boise,2016,11,4,Organic,1.92,1821.9,A
15265,Albany,2016,3,1,Organic,1.79,1822.67,A
9299,Louisville,2017,1,1,Organic,1.55,1822.94,C
15712,Louisville,2016,5,2,Organic,1.47,1825.53,A
11770,Boise,2017,12,4,Organic,1.77,1829.41,C
15904,Boise,2016,6,2,Organic,1.65,1829.78,A
15231,Indianapolis,2016,3,1,Organic,1.48,1831.89,A
10312,New Orleans/Mobile,2017,5,2,Organic,2.1,1834.44,C
16540,Boise,2016,8,3,Organic,2.24,1835.58,A
11362,Indianapolis,2017,10,4,Organic,2.31,1841.09,C
16639,Syracuse,2016,9,3,Organic,1.56,1844.23,A
14971,Miami/Ft. Lauderdale,2016,1,1,Organic,1.54,1844.79,A
16339,Grand Rapids,2016,7,3,Organic,1.86,1853.41,A
16754,Buffalo/Rochester,2016,9,3,Organic,1.6,1855.17,A
11081,Boise,2017,9,3,Organic,2.71,1855.43,C
17390,Buffalo/Rochester,2016,12,4,Organic,1.52,1859.14,A
9608,Grand Rapids,2017,2,1,Organic,1.64,1862.24,C
17173,Albany,2016,11,4,Organic,1.93,1862.7,A
11664,Boise,2017,11,4,Organic,1.85,1863.13,C
17335,Boise,2016,12,4,Organic,1.52,1864.49,A
11611,Boise,2017,11,4,Organic,1.88,1869.21,C
14996,Syracuse,2016,1,1,Organic,1.98,1871.93,A
9431,Syracuse,2017,1,1,Organic,1.57,1880.89,C
10654,Albany,2017,7,3,Organic,2,1883.1,C
15341,Louisville,2016,3,1,Organic,1.51,1883.74,A
15500,Louisville,2016,4,2,Organic,1.41,1886.22,A
11558,Boise,2017,11,4,Organic,2.33,1886.42,C
17332,Albany,2016,12,4,Organic,1.9,1886.63,A
17355,Louisville,2016,12,4,Organic,1.16,1887.69,A
15756,Grand Rapids,2016,5,2,Organic,1.6,1891.39,A
17114,Spokane,2016,11,4,Organic,2.02,1894.26,A
9382,Albany,2017,1,1,Organic,1.82,1897.07,C
15178,Indianapolis,2016,2,1,Organic,1.6,1901.93,A
15424,Albany,2016,4,2,Organic,1.56,1903.46,A
9928,Grand Rapids,2017,4,2,Organic,2.07,1908.86,C
15102,Syracuse,2016,2,1,Organic,1.96,1909.55,A
16180,Grand Rapids,2016,7,3,Organic,1.73,1909.68,A
9246,Louisville,2017,1,1,Organic,1.59,1913.69,C
16961,Albany,2016,10,4,Organic,1.86,1913.99,A
16478,Spokane,2016,8,3,Organic,2.25,1921.43,A
16537,Albany,2016,8,3,Organic,1.66,1922.46,A
16060,Albany,2016,6,2,Organic,1.53,1922.75,A
16484,Albany,2016,8,3,Organic,1.67,1926.01,A
14917,Louisville,2016,1,1,Organic,1.49,1929.38,A
16321,Syracuse,2016,7,3,Organic,1.45,1934.1,A
16908,Albany,2016,10,4,Organic,1.75,1939.89,A
14928,Pittsburgh,2016,1,1,Organic,1.16,1940.08,A
10681,New Orleans/Mobile,2017,7,3,Organic,1.76,1942.28,C
16745,Syracuse,2016,9,3,Organic,1.51,1953.97,A
14941,Spokane,2016,1,1,Organic,1.52,1955.39,A
9242,Indianapolis,2017,1,1,Organic,1.76,1956,C
16445,Grand Rapids,2016,8,3,Organic,1.93,1958.5,A
9352,Louisville,2017,1,1,Organic,1.6,1959.1,C
11505,Boise,2017,10,4,Organic,2.34,1962.54,C
10780,Jacksonville,2017,7,3,Organic,2.04,1971.67,C
15871,Louisville,2016,5,2,Organic,1.5,1972.92,A
15829,Pittsburgh,2016,5,2,Organic,1.42,1978.61,A
9329,Albany,2017,1,1,Organic,1.84,1982.65,C
6441,New Orleans/Mobile,2018,12,4,Organic,1.4,1984.24,C
16822,Jacksonville,2016,10,4,Organic,2.24,1990.61,A
9755,Albany,2017,3,1,Organic,1.97,2001.95,C
3873,Boise,2018,1,1,Organic,1.72,2017.17,C
16749,Albany,2016,9,3,Organic,1.68,2019.71,A
11078,Albany,2017,9,3,Organic,2,2022,C
3890,Jacksonville,2018,1,1,Organic,1.65,2023.95,C
9990,Louisville,2017,4,2,Organic,1.91,2026.06,C
9643,Syracuse,2017,2,1,Organic,1.84,2030.59,C
10816,Boise,2017,7,3,Organic,2.21,2033.48,C
17037,Louisville,2016,10,4,Organic,1.82,2038.12,A
9981,Grand Rapids,2017,4,2,Organic,2,2038.99,C
14899,Buffalo/Rochester,2016,1,1,Organic,1.49,2039.63,A
17282,Boise,2016,12,4,Organic,1.48,2053.35,A
5646,New Orleans/Mobile,2018,8,3,Organic,1.77,2056.57,C
14754,Indianapolis,2016,1,1,Organic,1.53,2057.45,A
15530,Albany,2016,4,2,Organic,1.82,2058.73,A
9804,Syracuse,2017,3,1,Organic,2.05,2064.66,C
4264,Louisville,2018,2,1,Organic,1.59,2064.9,C
9779,Miami/Ft. Lauderdale,2017,3,1,Organic,3.05,2068.26,C
15003,Boise,2016,2,1,Organic,0.84,2073.07,A
11072,Spokane,2017,8,3,Organic,2.84,2077.95,C
17120,Albany,2016,11,4,Organic,2,2084.37,A
17250,Miami/Ft. Lauderdale,2016,11,4,Organic,1.6,2084.95,A
16531,Spokane,2016,8,3,Organic,1.95,2086.53,A
10073,Albany,2017,4,2,Organic,1.92,2087.6,C
16637,Spokane,2016,9,3,Organic,1.93,2088.07,A
5672,Albany,2018,8,3,Organic,1.71,2088.44,C
15261,Syracuse,2016,3,1,Organic,2.09,2090.95,A
10869,Boise,2017,8,3,Organic,2.21,2091.16,C
5699,New Orleans/Mobile,2018,8,3,Organic,1.48,2094.74,C
11180,Syracuse,2017,9,3,Organic,1.8,2095.4,C
16498,Grand Rapids,2016,8,3,Organic,1.94,2096.45,A
9405,Louisville,2017,1,1,Organic,1.31,2097.61,C
9652,Buffalo/Rochester,2017,2,1,Organic,1.93,2099.67,C
14855,Grand Rapids,2016,1,1,Organic,1.53,2099.77,A
10087,Grand Rapids,2017,4,2,Organic,2.13,2101.46,C
15689,Albany,2016,5,2,Organic,1.83,2103.64,A
9597,Boise,2017,2,1,Organic,1.65,2104.05,C
9511,Louisville,2017,2,1,Organic,1.36,2108.66,C
16295,Louisville,2016,7,3,Organic,1.8,2109.9,A
15014,Grand Rapids,2016,2,1,Organic,1.46,2112.25,A
15670,Pittsburgh,2016,5,2,Organic,1.42,2119.08,A
16213,Spokane,2016,7,3,Organic,2.23,2122.86,A
15723,Pittsburgh,2016,5,2,Organic,1.31,2124.35,A
3979,Boise,2018,1,1,Organic,1.81,2130.13,C
16109,Syracuse,2016,6,2,Organic,1.68,2132.15,A
9875,Grand Rapids,2017,3,1,Organic,2.05,2136.8,C
15394,Louisville,2016,3,1,Organic,1.32,2136.97,A
16696,Albany,2016,9,3,Organic,1.69,2137.53,A
17379,Spokane,2016,12,4,Organic,1.38,2137.62,A
16699,Boise,2016,9,3,Organic,1.76,2138.14,A
15776,Pittsburgh,2016,5,2,Organic,1.41,2139.33,A
16434,Boise,2016,8,3,Organic,1.87,2142.35,A
16752,Boise,2016,9,3,Organic,1.39,2156.51,A
17197,Miami/Ft. Lauderdale,2016,11,4,Organic,1.6,2157.46,A
16955,Spokane,2016,10,4,Organic,1.83,2160.64,A
15477,Albany,2016,4,2,Organic,1.62,2161.66,A
15067,Grand Rapids,2016,2,1,Organic,1.36,2168.35,A
14860,Indianapolis,2016,1,1,Organic,1.51,2169.25,A
11423,New Orleans/Mobile,2017,10,4,Organic,1.55,2172.93,C
16166,Albany,2016,7,3,Organic,1.58,2173.2,A
4211,Louisville,2018,2,1,Organic,1.56,2174.66,C
15818,Louisville,2016,5,2,Organic,1.28,2178.13,A
16551,Grand Rapids,2016,8,3,Organic,1.8,2178.75,A
16855,Albany,2016,10,4,Organic,1.75,2179.44,A
9647,Albany,2017,2,1,Organic,1.71,2185.96,C
16875,Jacksonville,2016,10,4,Organic,1.98,2187.6,A
16719,Louisville,2016,9,3,Organic,1.31,2194.01,A
16590,Albany,2016,9,3,Organic,1.73,2194.77,A
10763,Boise,2017,7,3,Organic,2.23,2197.65,C
15183,Miami/Ft. Lauderdale,2016,2,1,Organic,1.51,2199.14,A
15851,Boise,2016,5,2,Organic,1.38,2206.16,A
9967,Albany,2017,4,2,Organic,1.92,2209.82,C
9701,Albany,2017,3,1,Organic,1.84,2228.14,C
9276,Albany,2017,1,1,Organic,1.94,2229.52,C
16328,Boise,2016,7,3,Organic,1.42,2232.59,A
11019,Spokane,2017,8,3,Organic,2.76,2232.94,C
15125,Indianapolis,2016,2,1,Organic,1.53,2235.13,A
11823,Boise,2017,12,4,Organic,1.76,2237.32,C
17408,Louisville,2016,12,4,Organic,1.23,2237.49,A
4562,Boise,2018,4,2,Organic,1.82,2245.59,C
10034,Grand Rapids,2017,4,2,Organic,2.19,2246.07,C
9861,Albany,2017,3,1,Organic,2.02,2250.22,C
10919,Albany,2017,8,3,Organic,1.9,2259.92,C
14961,Grand Rapids,2016,1,1,Organic,1.54,2267.22,A
10601,Albany,2017,7,3,Organic,2.03,2268.86,C
9641,Spokane,2017,2,1,Organic,2.34,2274.09,C
4244,Boise,2018,2,1,Organic,1.82,2275.91,C
15443,Indianapolis,2016,4,2,Organic,1.54,2278.47,A
16427,Syracuse,2016,8,3,Organic,1.54,2292.45,A
15020,Jacksonville,2016,2,1,Organic,1.7,2292.78,A
16001,Spokane,2016,6,2,Organic,1.89,2299.99,A
16988,New Orleans/Mobile,2016,10,4,Organic,1.51,2300.83,A
16021,Grand Rapids,2016,6,2,Organic,1.67,2301.05,A
17176,Boise,2016,11,4,Organic,1.46,2310.48,A
11684,Louisville,2017,11,4,Organic,1.62,2317.4,C
4506,Albany,2018,3,1,Organic,1.71,2321.82,C
15579,Syracuse,2016,4,2,Organic,1.71,2326.56,A
10787,New Orleans/Mobile,2017,7,3,Organic,1.28,2327.42,C
15583,Albany,2016,4,2,Organic,1.77,2328.82,A
16425,Spokane,2016,8,3,Organic,1.64,2329.01,A
5566,Albany,2018,8,3,Organic,1.65,2337.09,C
9440,Buffalo/Rochester,2017,1,1,Organic,1.61,2348.77,C
15314,Syracuse,2016,3,1,Organic,1.66,2357.86,A
15179,Jacksonville,2016,2,1,Organic,1.8,2362.13,A
14908,Grand Rapids,2016,1,1,Organic,1.49,2363.97,A
10365,New Orleans/Mobile,2017,5,2,Organic,1.88,2367.07,C
10552,Boise,2017,6,2,Organic,2.09,2373.02,C
15120,Grand Rapids,2016,2,1,Organic,1.58,2373.09,A
14791,Boise,2016,1,1,Organic,1.04,2373.95,A
11230,Southeast,2017,9,3,Organic,2.94,2375.19,C
9544,Boise,2017,2,1,Organic,1.58,2375.9,C
16849,Spokane,2016,10,4,Organic,1.64,2386.34,A
15155,Syracuse,2016,2,1,Organic,1.71,2389.56,A
15659,Louisville,2016,5,2,Organic,1.35,2389.94,A
17302,Louisville,2016,12,4,Organic,1.28,2391.74,A
9822,Grand Rapids,2017,3,1,Organic,2.05,2395.16,C
16219,Albany,2016,7,3,Organic,1.57,2399.74,A
16557,Jacksonville,2016,8,3,Organic,1.73,2400.5,A
14782,Spokane,2016,1,1,Organic,1.69,2401.84,A
11369,Nashville,2017,10,4,Organic,1.69,2402.71,C
15236,Miami/Ft. Lauderdale,2016,3,1,Organic,1.49,2403.4,A
15650,Grand Rapids,2016,5,2,Organic,1.36,2405.79,A
10583,Pittsburgh,2017,6,2,Organic,1.54,2406.34,C
11787,Jacksonville,2017,12,4,Organic,1.8,2407.14,C
11336,Southeast,2017,10,4,Organic,2.88,2413.84,C
9760,Buffalo/Rochester,2017,3,1,Organic,2.05,2414.64,C
11283,Southeast,2017,9,3,Organic,2.95,2417.55,C
4085,Boise,2018,1,1,Organic,1.78,2419.64,C
6434,Jacksonville,2018,12,4,Organic,1.5,2425.03,C
17253,New Orleans/Mobile,2016,11,4,Organic,1.48,2425.61,A
10833,Jacksonville,2017,7,3,Organic,1.78,2426.94,C
9832,Miami/Ft. Lauderdale,2017,3,1,Organic,2.59,2427.94,C
4297,Boise,2018,2,1,Organic,1.82,2430.16,C
4612,Albany,2018,4,2,Organic,1.69,2435.25,C
11628,Jacksonville,2017,11,4,Organic,1.89,2438.21,C
15639,Boise,2016,5,2,Organic,0.92,2440.13,A
9325,Syracuse,2017,1,1,Organic,1.7,2443.57,C
4032,Boise,2018,1,1,Organic,1.81,2446.13,C
14966,Indianapolis,2016,1,1,Organic,1.38,2450.94,A
10677,Louisville,2017,7,3,Organic,1.61,2453.16,C
5801,Louisville,2018,9,3,Organic,1.74,2457.98,C
17229,Boise,2016,11,4,Organic,1.38,2458.62,A
9857,Syracuse,2017,3,1,Organic,2.04,2460.96,C
3917,Spokane,2018,1,1,Organic,1.82,2468.87,C
16266,Spokane,2016,7,3,Organic,2.32,2469.93,A
16931,Louisville,2016,10,4,Organic,1.24,2470.03,A
9590,Syracuse,2017,2,1,Organic,1.66,2470.65,C
16533,Syracuse,2016,8,3,Organic,1.53,2472.9,A
10146,Jacksonville,2017,4,2,Organic,2.07,2473.97,C
15765,Louisville,2016,5,2,Organic,1.48,2477.92,A
11128,Tampa,2017,9,3,Organic,1.74,2478.44,C
15692,Boise,2016,5,2,Organic,1.11,2481.5,A
16487,Boise,2016,8,3,Organic,1.64,2485.38,A
11843,Louisville,2017,12,4,Organic,1.54,2491.03,C
16802,Albany,2016,10,4,Organic,1.73,2492.82,A
11893,Jacksonville,2017,12,4,Organic,1.61,2498.65,C
15133,New Orleans/Mobile,2016,2,1,Organic,1.54,2500.35,A
10813,Albany,2017,7,3,Organic,1.67,2503.82,C
11661,Albany,2017,11,4,Organic,1.75,2506.38,C
10650,Syracuse,2017,7,3,Organic,2.44,2508.3,C
11737,Louisville,2017,11,4,Organic,1.63,2510.26,C
4824,Albany,2018,5,2,Organic,1.68,2510.31,C
16074,Grand Rapids,2016,6,2,Organic,1.38,2515.91,A
17359,New Orleans/Mobile,2016,12,4,Organic,1.51,2516.58,A
9594,Albany,2017,2,1,Organic,1.67,2523.56,C
11025,Albany,2017,8,3,Organic,1.91,2525.28,C
